id,srno,assurance_date,ministry,subject,sessionNo,assuranceNo,source,clubbedMembers
10494,2538,2025-07-23,ROAD TRANSPORT AND HIGHWAYS,UNAUTHORISED TOLL OPERATION ON INCOMPLETE NH 748A,,268/54,USQ 412,
10495,2538,2024-12-04,SKILL DEVELOPMENT  AND ENTREPRENEURSHIP,Strengthening Apprenticeship Programme,,266/71,USQ 1074,
10496,2538,2024-12-09,PETROLEUM AND NATURAL GAS,Steps to encourage investment in Natural Gas Production,,266/54,USQ 1560,
10497,2538,2024-11-25,CIVIL AVIATION,STEPS TO EXTEND THE UDAN SCHEME,,266/36,USQ 13,
10498,2538,2023-03-24,COMMERCE AND INDUSTRY,New Industrial Policy,,259/63,USQ 2758,
10499,2538,2022-12-08,SPACE,New space policy for private player's participation,,258/6,USQ 292,
10500,2540,2025-02-10,Housing and Urban Affairs,SMART CITY PROJECTS IN ODISHA,,267/168,USQ 700,
10501,2540,2024-12-09,COAL,Promotion of Underground Coal Mining in the Country,,266/80,SQ 139,
10502,2096,2014-08-07,SOCIAL JUSTICE AND EMPOWERMENT,Preventing a baptized Sikh student from taking a written entrance test in Rajasthan,,232/362,,"AlokTiwari, Munvvar Saleem, SalimAnsari, SUKHDEV SINGH DHINSA"
10503,2096,2011-12-15,ROAD TRANSPORT AND HIGHWAYS,New Delhi to Amritsar Road,,224/141,USQ 2577,
10504,2096,2011-12-05,WATER RESOURCES,Development of Irrigation facilities,,224/102,USQ 1550,
10505,2096,2011-09-02,RAILWAYS,Track laying capacity,,223/384,USQ 3381,
10506,2096,2011-08-30,RURAL DEVELOPMENT,Implementation of MGNREGS in Punjab,,223/369,USQ 3077,
10507,2096,2009-07-24,HEALTH AND FAMILY WELFARE,Vacant post of Unani advisor,,217/337,SQ 305,
10508,2096,2009-02-26,OVERSEAS INDIAN AFFAIRS,Indians languishing in foreign jails,,215/105,SQ 159,
10509,2096,2010-11-16,HEALTH AND FAMILY WELFARE,Regulation on use of mercury in healthcare sector,,221/65,USQ 860,
10510,1213,2001-12-18,FINANCE AND COMPANY AFFAIRS,Swarn Jayanthi Gram Swa-Rojgar Yojna,,194/288,USQ 2936,
10511,1657,2012-12-05,LABOUR AND EMPLOYMENT,EPF beneficiaries in the country,,227/127,USQ 1350,
10512,1657,2012-08-24,RAILWAYS,Resources for completing Railway projects,,226/263,SQ 200,
10513,1657,2012-08-31,RAILWAYS,Connecting border areas of Nepal with New Railway lines,,226/192,USQ 2302,
10514,1657,2012-08-27,COAL,Irregularities in allocation of coal blocks,,226/140,USQ 1574,
10515,1657,2011-08-11,"PERSONNEL, PUBLIC GRIEVANCES AND PENSIONS",Inclusion of Minorities in OBC reservation,,223/185,USQ 1315,
10516,1657,2011-03-07,LAW  AND JUSTICE,Amendments in Representation of People,,222/122,USQ 1176,
10517,1657,2010-12-01,HOME AFFAIRS,Killing of Hindi speaking people by Pro Bodoland Groups in Assam,,221/,USQ 2395,
10518,1657,2010-11-30,PETROLEUM AND NATURAL GAS,subsidy to oil companies,,221/211,USQ 2290,
10519,1657,2010-08-02,LAW  AND JUSTICE,Use of official language of States in High Courts,,220/147,USQ 781,
10520,1657,2012-11-30,CHEMICALS AND FERTILIZERS,Revival of fertilizer factory at Gorakhpur,,227/88,USQ 806,
10521,1657,2012-11-23,CHEMICALS AND FERTILIZERS,De-Regulation of fertilizers,,227/27,USQ 201,
10522,1657,2012-08-08,HOME AFFAIRS,Clashes  between Paramilitary forces and naxalites in Chhatisgarh,,226/13,USQ 100,
10523,1657,2011-12-02,CHEMICALS AND FERTILIZERS,Increasing production of Urea,,224/79,USQ 1289,
10524,1657,2011-11-23,LABOUR AND EMPLOYMENT,Enhancing the pension of EPF pensioners,,224/20,USQ 288,
10525,1657,2011-03-03,SPACE,Allocation of S-Band spectrum,,222/87,USQ 889,
10526,1657,2011-03-01,HEALTH AND FAMILY WELFARE,Opening of AIIMS like medial colleges,,222/52,USQ 702,
10527,1657,2010-11-10,LABOUR AND EMPLOYMENT,Increase in pension to EPF pensioners,,221/25,USQ 281,M.P. Achuthan
10528,1657,2010-11-10,HOME AFFAIRS,Terms of reference of interlocutors for J&amp;K,,221/24,USQ 261,
10529,1657,2010-07-30,"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",Rottening of wheat in western Uttar Pradesh,,220/58,USQ 615,
10530,1657,2012-11-22,ATOMIC ENERGY,Atomic Power Generation Agreement for Establishment of new Atomic Power Plants,,227/7,USQ 10,
10531,2097,2014-02-12,DEFENCE,Scrapping of VVIP helicopter deal,,230/311,USQ 2210,Arvind Kumar Singh
10532,2097,2014-02-11,FINANCE,CAG's objection on post dated financial sanction,,230/271,USQ 2045,"Arvind Kumar Singh, PRABHAT JHA"
10533,2097,2014-02-20,ROAD TRANSPORT AND HIGHWAYS,NH projects funded by international agencies,,230/153,USQ 2887,"Arvind Kumar Singh, PRABHAT JHA"
10534,2097,2013-12-18,TEXTILES,Number of beneficiaries under RGSSY and HIS,,230/131,USQ 1532,"AlokTiwari, Arvind Kumar Singh, PRABHAT JHA"
10535,2097,2013-12-18,DEFENCE,Corruption in defence deal,,230/107,SQ 184,
10536,2097,2013-08-08,"PERSONNEL, PUBLIC GRIEVANCES AND PENSIONS",Autonomy of CBI,,229/191,USQ 537,"AlokTiwari, Arvind Kumar Singh, PRABHAT JHA"
10537,2097,2013-08-27,FINANCE,doubious investment schemes by real estate companies,,229/151,USQ 1889,"AlokTiwari, Arvind Kumar Singh, PRABHAT JHA"
10538,2097,2013-05-07,FINANCE,"Lands Mortgaged in SBI, Chitbaragaon Branch, under KCC scheme",,228/316,USQ 4375,"AlokTiwari, Arvind Kumar Singh, PRABHAT JHA"
10539,2097,2013-04-30,FINANCE,Waiver of loans in Ballia,,228/278,USQ 3746,"AlokTiwari, Arvind Kumar Singh, PRABHAT JHA"
10540,2097,2013-04-23,FINANCE,Violation of Anti-money laundering norms by private banks,,228/243,USQ 3146,
10541,2097,2013-03-21,"PERSONNEL, PUBLIC GRIEVANCES AND PENSIONS",CBI cases involving foreign  countries,,228/183,USQ 2694,PRABHAT JHA
10542,2097,2012-12-14,AGRICULTURE,MSP of wheat,,227/296,USQ 2350,"Arvind Kumar Singh, PRABHAT JHA"
10543,2097,2012-10-10,"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",changes in proposed national food secrutiy bill,,227/262,USQ 1737,"Arvind Kumar Singh, PRABHAT JHA"
10544,2097,2012-12-12,HOME AFFAIRS,Cracks in NSG Building in Mumbai,,227/192,USQ 2083,"Arvind Kumar Singh, PRABHAT JHA"
10545,2097,2012-12-12,DEFENCE,Funds spent on purchases through CSD,,227/181,SQ 264,
10546,2097,2012-12-11,CIVIL AVIATION,"closure of second runway at JUHU Airpor, Mumbai",,227/166,USQ 1864,"Arvind Kumar Singh, PRABHAT JHA"
10547,2097,2012-12-06,FINANCE,Meeting regarding liberal lending by banks,,227/139,USQ 1451,"Arvind Kumar Singh, PRABHAT JHA"
10548,2097,2012-12-05,DEFENCE,seeking details of middilemen in VVIP Helicopter deal,,227/113,USQ 1280,"Arvind Kumar Singh, PRABHAT JHA"
10549,2097,2012-09-03,NEW AND RENEWABLE ENERGY,Findings of Inquiry into JNNSM scam,,226/203,USQ 2420,
10550,2097,2012-08-27,INFORMATION AND BROADCASTING,violation of broadcasting norms,,226/146,USQ 1620,
10551,2097,2012-05-16,DEFENCE,complaints of embezzlement against Cantonment board officials,,225/433,USQ 4382,
10552,2097,2012-05-14,NEW AND RENEWABLE ENERGY,SCAM in JNNSM,,225/418,SQ 537,
10553,2097,2012-05-08,HEALTH AND FAMILY WELFARE,Medical colleges in the country,,225/365,USQ 3489,
10554,2097,2012-04-26,NITI AYOG,New forms for poverty lines,,225/233,USQ 2383,
10555,2097,2012-03-29,SOCIAL JUSTICE AND EMPOWERMENT,Institute for physically handicapped,,225/172,USQ 1815,PRABHAT JHA
10556,2097,2011-11-25,RAILWAYS,Scam in SER by Iron Ore Miners,,224/327,USQ 590,
10557,2097,2011-12-13,FINANCE,Reservation to old pension schme,,224/275,USQ 2210,
10558,2097,2011-11-24,ROAD TRANSPORT AND HIGHWAYS,Status of Delhi-Meerut Expressway,,224/248,USQ 419,
10559,2097,2011-11-22,RURAL DEVELOPMENT,CBI enquiry into embezzlement of MGNREGS funds in Uttar Pradesh,,224/235,USQ 155,RasheedMasood
10560,2097,2011-11-22,ENVIRONMENT AND FORESTS,"Silid Waste Management Plant at Dundahera in Ghaziabad, U.P.",,224/221,USQ 17,
10561,2097,2011-12-09,COMMUNICATIONS & INFORMATION TECHNOLOGY,Telecom Operators providing  3G services,,224/119,USQ 1914,
10562,2097,2011-09-02,RAILWAYS,Intergrated security system,,223/385,USQ 3382,PRABHAT JHA
10563,2097,2011-08-17,COMMERCE AND INDUSTRY,Export of rice through STC  and MMTC,,223/239,USQ 1708,PRABHAT JHA
10564,2097,2011-08-16,PETROLEUM AND NATURAL GAS,Buying of Diesel by RIL at inflated price,,223/232,USQ 1686,
10565,2097,2011-08-12,COMMUNICATIONS & INFORMATION TECHNOLOGY,Cancellation of Licences of Telecom Operatiors failing to start services,,223/203,USQ 1440,
10566,2097,2011-03-10,CIVIL AVIATION,Lucknow and Varanasi airports runway project scam,,222/155,USQ 1568,
10567,2097,2011-03-09,LABOUR AND EMPLOYMENT,Report of wage board for journalists,,222/154,USQ 1512,"D. RAJA, M.P. Achuthan, PRABHAT JHA"
10568,2097,2011-03-09,HOME AFFAIRS,Crimes in Delhi and Uttar Pradesh,,222/150,USQ 1488,
10569,2097,2011-03-08,FINANCE,contribution of employees pending untization in NPS,,222/136,USQ 1299,
10570,2097,2011-03-07,INFORMATION AND BROADCASTING,collision of prasar bharti with SIS live,,222/120,USQ 1164,
10571,2097,2010-12-10,COMMUNICATIONS & INFORMATION TECHNOLOGY,Cancellation of 2G spectrum licences,,221/307,USQ 3460,PRABHAT JHA
10572,2097,2010-11-29,WOMEN AND CHILD DEVELOPMENT,Legislation against sexual and physical harassment of women,,221/182,SQ 270,
10573,2097,2010-11-26,RAILWAYS,Appointment of Doctors in Railway Hospitals,,221/179,USQ 2012,
10574,2097,2010-11-24,DEFENCE,High rise building in Naval Area in Mumbai,,221/140,SQ 211,
10575,2097,2010-11-23,RURAL DEVELOPMENT,"Amendment in Land Acquisition Act, 1894",,221/133,USQ 1526,
10576,2097,2010-11-19,RAILWAYS,Missing of rakes of wheat destined to Mednipur,,221/110,USQ 1222,
10577,2097,2010-11-18,URBAN DEVELOPMENT,Auction of games village flats,,221/100,USQ 1052,
10578,2097,2010-08-06,RAILWAYS,Train accidents,,220/312,USQ 1450,
10579,2097,2010-08-26,"PERSONNEL, PUBLIC GRIEVANCES AND PENSIONS",Syllabus of CSAT,,220/284,USQ 3258,
10580,2097,2010-08-26,SOCIAL JUSTICE AND EMPOWERMENT,Recommendations of National Commission of Economically Backward Classes,,220/278,SQ 436,
10581,2097,2010-05-05,TEXTILES,Suicide by weavers,,219/389,USQ 4453,"KAMAL AKHTAR, NAND KISHORE YADAV"
10582,2097,2010-05-03,LAW  AND JUSTICE,Settlement of claims of investors,,219/313,USQ 4085,
10583,2097,2010-04-28,HOME AFFAIRS,Red corner notice against NRIS,,219/286,USQ 3619,
10584,2097,2010-03-12,"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",Continuous price rise,,219/120,USQ 1720,
10585,2097,2010-03-10,ROAD TRANSPORT AND HIGHWAYS,Roads and NHs constructed,,219/101,USQ 1476,
10586,2097,2009-11-30,RAILWAYS,Illegal selection for group D posts,,218/119,USQ 1036,
10587,2097,2009-08-07,AGRICULTURE,Suicide by farmers in eastern Uttar Pradesh,,217/502,USQ 3664,
10588,2097,2013-12-16,NEW AND RENEWABLE ENERGY,Maximum permissible capacity  of Solar Thermal Projects,,230/87,USQ 1169,"AlokTiwari, ARUN SHOURIE                            , PRABHAT JHA"
10589,2097,2013-12-13,RAILWAYS,Electrification work of Rohtak-Bhatinda  Railway line,,230/74,USQ 1046,"AlokTiwari, Arvind Kumar Singh"
10590,2097,2012-11-30,RAILWAYS,Railways freight fare scam,,227/98,USQ 889,
10591,2097,2012-08-09,FINANCE,Draft General anti avodance rules,,226/20,USQ 199,Arvind Kumar Singh
10592,2097,2012-03-23,COMMUNICATIONS & INFORMATION TECHNOLOGY,Irregularities in issuance of international long  Distance licence,,225/98,SQ 148,
10593,2097,2012-03-19,"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",Tendering process in Distribution of Pulses,,225/46,USQ 492,
10594,2097,2011-12-02,RAILWAYS,Steps to check touts,,224/73,SQ 162,
10595,2097,2011-08-01,"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",Clearance to Food Security Bill,,223/38,USQ 21,
10596,2097,2011-08-02,"Environment, Forests  & Climate Change",Illegal quarrying in Ganga and other Rivers,,223/20,USQ 161,
10597,2097,2011-03-04,COMMUNICATIONS & INFORMATION TECHNOLOGY,Raising of price of 2G spectrum,,222/96,USQ 987,
10598,2097,2011-03-03,YOUTH AFFAIRS & SPORTS,CAG audit of CWG overlays contracts,,222/90,USQ 926,
10599,2097,2011-02-25,COMMUNICATIONS & INFORMATION TECHNOLOGY,Recovery charges for excess spectrum,,222/65,USQ 509,
10600,2097,2010-07-28,HOME AFFAIRS,Mercy petition of Afzal Guru,,220/28,USQ 372,PRABHAT JHA
10601,2097,2010-03-10,HOME AFFAIRS,Arrest on human right activists,,219/99,USQ 1415,
10602,2097,2010-03-05,RAILWAYS,Train accidents near Kanpur,,219/82,USQ 1007,"KAMAL AKHTAR, NAND KISHORE YADAV"
10603,2097,2012-08-08,HOME AFFAIRS,Innocent civilians killed in Chhattisgarh during encounter,,226/8,USQ 64,D. RAJA
10604,2541,2023-07-25,FINANCE,Vivad se Vishwas I – Relief to MSMEs,,260/109,USQ 539,
10605,2541,2025-12-16,"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",REVISED PROCUREMENT TARGETS FOR PADDY AND RICE,,269/18,SQ 171,
10606,2541,2025-12-09,NEW AND RENEWABLE ENERGY,EVEN DISTRIBUTION OF FUNDS AND PROJECT,,269/10,SQ 95,
10607,2541,2024-07-31,ROAD TRANSPORT AND HIGHWAYS,,,265/16,SQ 93,
10608,2541,2023-07-28,TEXTILES,Mega Textile Park for Odisha,,260/90,USQ 1113,"AmarPatnaik, Niranjan Bishi"
10609,2541,2023-08-03,"Environment, Forests  & Climate Change","DRAFTING OF FOREST CONSERVATION AMENDMENT BILL, 2023",,260/28,SQ 155,
10610,2541,2023-03-14,"PORTS, SHIPPING AND WATERWAYS",Development of inland waterway system in Odisha.,,259/30,USQ 1586,
10611,2542,2025-12-15,CIVIL AVIATION,INVESTIGATION STATUS OF AHMEDABAD PLANE CRASH,,269/60,USQ 1617,
10612,2542,2025-08-05,FINANCE,"GST RATE VARIATIONS DUE TO PRODUCT
FORM CHANGES",,268/31,USQ 1832,
10613,2542,2024-12-18,WOMEN AND CHILD DEVELOPMENT,Women Suffering from Anemia and Malnourished Children,,266/27,SQ 249,
10614,2542,2024-07-22,CIVIL AVIATION,Collapsing of roofs at airports,,265/61,USQ 26,
10615,2098,2013-08-27,POWER,Electrification of Villages,,229/165,USQ 2008,
10616,2098,2013-08-26,RURAL DEVELOPMENT,Construction of Roads in Bundelkhand,,229/139,USQ 1813,
10617,2098,2011-03-11,RAILWAYS,Rail projects in the country,,222/169,USQ 1822,MAYA SINGH
10618,2098,2011-03-10,YOUTH AFFAIRS & SPORTS,Sale of complimentary tickets during CWG,,222/160,USQ 1699,MAYA SINGH
10619,2098,2010-11-24,HOME AFFAIRS,Strengthening of NSG,,221/144,USQ 1592,
10620,2098,2010-08-20,RAILWAYS,Setting up air-conditioned container factory,,220/263,USQ 3015,
10621,2098,2010-05-06,SCIENCE AND TECHNOLOGY,Research and development work in S&T field,,219/349,USQ 4562,
10622,2098,2010-03-05,HUMAN RESOURCE DEVELOPMENT,Educational institutions being run purely for profit,,219/74,SQ 128,
10623,2098,2010-02-23,PETROLEUM AND NATURAL GAS,Premium service,,219/6,USQ 120,
10624,770,1990-03-21,COMMUNICATIONS & INFORMATION TECHNOLOGY,Basic changes in Postal Telegraph Act,,153/15,SQ 136,
10625,770,1990-08-21,"PERSONNEL, PUBLIC GRIEVANCES AND PENSIONS",Report of Expert Committee on Multi-lingual system in examinations conducted by UPSC,,155/1,USQ 1481,
10626,275,1988-11-30,EXTERNAL AFFAIRS,Expenditure incurred on Prime Minister`s foreign tours,,148/1,USQ 2268,
10627,2543,2025-04-02,TRIBAL AFFAIRS,Pradhanmantri Janjati Adiwasi Nyaya Maha Abhiyan (PM JANMANAS),,267/17,SQ 333,
10628,2543,2024-12-06,TEXTILES,Roadmap for Textile Sector till 2030,,266/78,USQ 1438,
10629,2543,2023-12-04,CIVIL AVIATION,DEVELOPEMENT OF AMRAVATI AIRPORT UNDER THE UDAN SCHEME,,262/50,SQ 34,
10630,2543,2023-08-03,TOURISM,LAUNCH OF NEW TOURISM POLICY,,260/80,USQ 1741,
10631,2543,2023-08-07,Housing and Urban Affairs,INCENTIVES FOR PMAY-(U),,260/61,USQ 1986,
10632,2543,2022-12-09,TEXTILES,Boosting Textile Sector in Darjeeling and Kalimpong,,258/75,SQ 33,
10633,2100,2015-03-20,Communications,Debate of NET Neutrality,,234/240,USQ 2615,
10634,2544,2024-11-25,POWER,NEW POWER PROJECTS,,266/39,USQ 153,
10635,2544,2023-08-03,LABOUR AND EMPLOYMENT,CONSTRUCTION OF NEW BUILDING FOR ESI HOSPITAL,,260/29,SQ 157,
10636,2544,2023-04-03,CIVIL AVIATION,IMPROVEMENT IN AIR TRAFFIC SYSTEM,,259/97,USQ 3527,
10637,2544,2022-12-09,RAILWAYS,Construction of Freight Corridors,,258/79,USQ 439,
10638,2101,2014-08-12,HEALTH AND FAMILY WELFARE,Mecicines in the formulary of CGHS and Government hospitals,,232/480,SQ 482,
10639,2101,2014-08-12,MINORITY AFFAIRS,Maulana Azad Education Foundation,,232/442,USQ 3686,
10640,2101,2014-08-05,MINORITY AFFAIRS,Amendmednt of Dargah Khwaja Saheb Act.,,232/315,USQ 2913,
10641,2101,2014-08-05,MINORITY AFFAIRS,Annual reports of WAKF boards of UTs.,,232/313,USQ 2908,
10642,2101,2014-07-25,RAILWAYS,Doubling of Railway Line,,232/258,USQ 1964,
10643,2101,2014-02-07,RAILWAYS,Surveys for railway lines in Uttar Pradesh.,,230/301,USQ 1842,
10644,2101,2014-02-05,HOME AFFAIRS,Prevention of communal violence bill.,,230/167,SQ 211,
10645,2101,2013-04-25,NITI AYOG,New Guidelines for Granting special status to States,,228/250,USQ 3335,
10646,2101,2013-04-22,MINORITY AFFAIRS,Nomination to NCM,,228/230,USQ 3045,
10647,2101,2012-12-11,HEALTH AND FAMILY WELFARE,ACP for CGHS Pharmacists,,227/170,USQ 1910,SABIR ALI
10648,2101,2012-12-04,PETROLEUM AND NATURAL GAS,Compulsory bank account for cheap LPG refills,,227/103,USQ 1186,
10649,2101,2012-09-06,"PERSONNEL, PUBLIC GRIEVANCES AND PENSIONS",Vacancy of senior standing counsel of CAT,,226/237,USQ 2870,
10650,2101,2012-08-31,HUMAN RESOURCE DEVELOPMENT,Admission to Kendriya Vidyalayas under M.P. Quota,,226/187,USQ 2278,
10651,2101,2012-08-22,HOME AFFAIRS,Muslim youth Targeted in the name of terrorism,,226/102,USQ 1145,
10652,2101,2012-05-11,HUMAN RESOURCE DEVELOPMENT,Utilisation of Funds in Uttar Pradesh,,225/408,USQ 3966,
10653,2101,2012-05-07,MINORITY AFFAIRS,Committees to study problems of Minorities,,225/353,USQ 3346,
10654,2101,2012-05-04,CHEMICALS AND FERTILIZERS,Investment in fertilizer sector,,225/334,USQ 3147,
10655,2101,2012-03-28,HOME AFFAIRS,Complaints of MPs regarding arms licences in Delhi,,225/152,USQ 1611,
10656,2101,2012-03-28,HOME AFFAIRS,Repeal of arms policy,,225/151,USQ 1610,
10657,2101,2011-11-30,DEFENCE,Increase in direct intake of 50 by AFHQ civil services,,224/312,USQ 977,
10658,2101,2011-08-19,HUMAN RESOURCE DEVELOPMENT,Strengthening AICTE,,223/457,USQ 2078,SABIR ALI
10659,2101,2011-08-26,HUMAN RESOURCE DEVELOPMENT,Cases of non-compliance of RTE Act,,223/345,USQ 2730,
10660,2101,2011-08-10,URBAN DEVELOPMENT,Allotment of Land to private hospitals in Delhi,,223/163,USQ 1239,SABIR ALI
10661,2101,2011-08-04,EXTERNAL AFFAIRS,Meeting on Haj Pilgrimage,,223/113,USQ 517,SABIR ALI
10662,2101,2011-03-16,DEFENCE,"Invocation of Section  34 of Cantonment Act, 2006",,222/200,USQ 2202,
10663,2101,2011-03-11,HUMAN RESOURCE DEVELOPMENT,Financial  and other  irregularities in Amu,,222/165,USQ 1811,
10664,2101,2010-11-22,MINORITY AFFAIRS,Chairman of NCM,,221/348,USQ 1339,
10665,2101,2010-11-11,EXTERNAL AFFAIRS,Delay in passport for Haj,,221/332,USQ 373,
10666,2101,2010-12-13,MINORITY AFFAIRS,Bodies without Chairman,,221/327,USQ 3653,
10667,2101,2010-12-08,DEFENCE,Defence immovable properties in Uttar Pradesh,,221/282,USQ 3144,
10668,2101,2010-12-03,AGRICULTURE,Impact of global warming,,221/238,USQ 2642,SABIR ALI
10669,2101,2010-11-29,MINORITY AFFAIRS,Annual reports and audited accounts of NMDFC,,221/197,USQ 2107,
10670,2101,2010-11-29,MINORITY AFFAIRS,Annual Reports and Audited Accounts of NCLM,,221/196,USQ 2106,
10671,2101,2010-05-05,HOME AFFAIRS,Impounded vehicels lying in police stations in Delhi,,219/342,USQ 4364,
10672,2101,2010-03-16,FINANCE,Buildings of SBI branches,,219/147,USQ 2030,
10673,2101,2009-07-24,"AYURVEDA, YOGA & NATUROPATHY, UNANI, SIDDHA",Complaints on medical system,,217/349,USQ 2356,
10674,2101,2009-07-24,HEALTH AND FAMILY WELFARE,Vacant post of Unani Advisor,,217/336,SQ 305,
10675,2101,2009-07-20,LAW  AND JUSTICE,Corruption in judiciary,,217/259,USQ 1702,SABIR ALI
10676,2101,2009-07-16,"PERSONNEL, PUBLIC GRIEVANCES AND PENSIONS",strengthening of RTI Act,,217/212,SQ 185,SABIR ALI
10677,2101,2009-07-03,RAILWAYS,New railway line betweeen Aligarh and Kasganj,,217/201,USQ 243,SABIR ALI
10678,2101,2014-07-11,LAW  AND JUSTICE,Legislators with criminal charges,,232/80,USQ 446,Anand Sharma
10679,2101,2013-12-17,PETROLEUM AND NATURAL GAS,Irregularity in Draw of Lots for LPG agency,,230/93,SQ 173,
10680,2101,2013-08-08,URBAN DEVELOPMENT,Encroachment of Resident of poet Ghalib in Delhi,,229/50,USQ 609,
10681,2101,2013-08-06,HEALTH AND FAMILY WELFARE,Nomination to CCIM,,229/18,USQ 227,
10682,2101,2013-03-04,INFORMATION AND BROADCASTING,Re-issuance of revised TV Licences,,228/48,USQ 698,
10683,2101,2012-08-14,CIVIL AVIATION,Salary and allowances of pilots in India,,226/38,USQ 481,
10684,2101,2012-03-22,EXTERNAL AFFAIRS,Maltreatment with Indian  Diplomats,,225/71,SQ 137,
10685,2101,2012-03-15,CIVIL AVIATION,Irregularities in Air India,,225/32,USQ 349,
10686,2101,2012-03-13,HEALTH AND FAMILY WELFARE,Vacant posts in CGHS,,225/12,USQ 88,
10687,2101,2010-03-08,INFORMATION AND BROADCASTING,AD-HOCISM  in Prasar Bharati,,219/54,USQ 1123,
10688,2101,2014-11-24,HUMAN RESOURCE DEVELOPMENT,Infrastructure in deemed universities,,233/8,SQ 6,
10689,2545,2024-12-16,POWER,INSTALLATION OF FGD BY THERMAL POWER PLANTS,,266/25,SQ 212,
10690,2545,2024-07-25,"Environment, Forests  & Climate Change",Deaths due to pollution in the country,,265/75,USQ 384,
10691,2545,2024-02-09,AGRICULTURE AND FARMERS WELFARE,CROP DIVERSIFICATION IN PUNJAB,,263/16,USQ 810,
10692,2545,2022-12-07,ROAD TRANSPORT AND HIGHWAYS,Non-construction of Railway over-bridge at Makhu on NH 54,,258/64,USQ 89,
